Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
51	-45.100506	1.147028	-43.732044	-46.472168	-8.557209	0.019499805	-8.524855	-8.585207	1000.0	1000.0	203999	43.610867	16.86672	53.45039	-177.43921	43.611084	16.866535	53.411907	-172.1301	-2.4850676	1.0928409	27.809586	-11.848049	-44.149837	0.98062676	3229.257818698883
52	-48.538555	1.2206098	-46.465275	-49.619343	-7.943956	0.018956836	-7.90972	-7.9659095	1000.0	1000.0	207999	43.61596	16.816435	53.24619	-112.25275	43.616135	16.815163	53.28441	-111.54903	-2.482754	1.0999019	26.686256	-9.135905	-44.15325	0.97842455	3311.0436103343964
53	-47.621395	1.8345801	-45.57962	-50.588207	-7.123971	0.15932296	-6.959978	-7.39096	1000.0	1000.0	211999	43.824043	16.155434	53.27596	-121.18015	43.82395	16.155369	52.83317	-116.591385	-2.4910097	1.0982753	27.673412	-9.107894	-44.372173	0.84399164	3393.4866950511932
54	-46.06162	1.4769293	-43.70039	-47.7733	-8.158007	0.052306686	-8.080842	-8.221066	1000.0	1000.0	215999	43.908665	15.959305	53.164806	-129.39035	43.908787	15.957877	53.189606	-132.05066	-2.5048678	1.0523877	26.700203	-9.549508	-44.447456	0.7781191	3475.924612045288
55	-48.36845	1.8876188	-46.758957	-51.486473	-6.302268	0.07116859	-6.130142	-6.394973	1000.0	1000.0	219999	43.938305	16.131008	53.56899	-113.407715	43.938305	16.131329	53.07384	-121.6547	-2.4973493	1.0725577	25.808517	-10.64999	-44.47709	0.8574877	3558.7528731822968
56	-66.98509	34.525364	-46.16179	-126.77549	-7.337055	0.03802669	-7.2751546	-7.381466	961.75	1000.0	223999	44.064816	15.793136	53.476006	-120.192184	44.064926	15.791736	53.346027	-121.542984	-2.5053103	1.065745	34.69805	-10.133167	-44.61024	0.7759629	3641.802476644516
57	-47.769833	1.4811857	-45.76059	-49.905586	-5.3121147	0.02604632	-5.2724786	-5.349125	1000.0	1000.0	227999	44.05863	15.678547	53.876183	-121.22624	44.058544	15.679839	53.69671	-112.82754	-2.4995918	1.0526047	22.429394	-11.94526	-44.59875	1.0724833	3725.0774631500244
58	-48.388733	1.197703	-46.969738	-50.218307	-5.5320144	0.1723024	-5.35295	-5.838824	1000.0	1000.0	231999	44.1923	15.276889	53.79249	-113.275116	44.192314	15.275904	53.64049	-115.332275	-2.5194116	1.0139986	24.041569	-9.5431595	-44.72915	0.7892152	3808.3751940727234
59	-49.0257	1.1086112	-47.696606	-50.695908	-6.9126434	0.034099925	-6.8750987	-6.964746	1000.0	1000.0	235999	44.14421	15.594247	54.125275	-123.92615	44.144466	15.593715	53.98022	-121.91798	-2.511711	1.0408506	24.084513	-11.3647995	-44.68424	0.8389316	3892.4521028995514
60	-46.77838	0.86297196	-45.42598	-47.821163	-6.028842	0.1188165	-5.7615676	-6.1364474	1000.0	1000.0	239999	44.25082	15.416195	54.117935	-122.96807	44.251205	15.414714	53.833145	-125.50225	-2.5242052	1.0000949	22.146553	-9.005815	-44.78762	0.7601069	3976.215245962143
